side,point,x,y,z,description
L,P_base_L1,0.18696,-0.03802,-0.03952,左腿后驱动轴_L1与机身主动轴中心
L,P_L1_L2,0.17616,-0.13365,0.02142,左腿L1与L2铰点
L,P_L2_L3,0.18116,-0.2572,-0.03299,左腿L2与L3铰点
L,P_L3_L4,0.18116,-0.07167,-0.10903,左腿L3与L4铰点
L,P_L4_L6,0.18116,-0.15608,-0.15601,左腿L4与L6铰点
L,P_W,0.20116,-0.44391,-0.02744,左腿L6与轮子的轮轴中心
L,P_base_L5,0.16216,-0.03802,-0.03952,左腿前驱动轴_L5与机身主动轴中心
L,P_L3_L5,0.16216,-0.13711,-0.09466,左腿L3中间与L5中间铰点
L,P_L5_L6,0.16816,-0.22152,-0.14164,左腿L5与L6铰点
,,,,,
R,P_base_L1,-0.17934,-0.03802,-0.03952,右腿后驱动轴_L1与机身主动轴中心
R,P_L1_L2,-0.17284,-0.10009,0.05539,右腿L1与L2铰点
R,P_L2_L3,-0.17284,-0.20077,-0.03455,右腿L2与L3铰点
R,P_L3_L4,-0.17284,-0.04801,-0.16444,右腿L3与L4铰点
R,P_L4_L6,-0.17284,-0.10572,-0.24191,右腿L4与L6铰点
R,P_W,-0.20889,-0.3394,-0.03033,右腿轮轴中心
R,P_base_L5,-0.15384,-0.03802,-0.03952,右腿前驱动轴_L5与机身主动轴中心
R,P_L3_L5,-0.17284,-0.10576,-0.13046,右腿L3中间与L5中间铰点
R,P_L5_L6,-0.17184,-0.16346,-0.20793,右腿L5与L6铰点
